	sequences per sample	iteration	214	211	HSCH3C2T	LSB1C1B	HSCH3C2B	4	134	HSCH3C2M	LSB1C1M	S7MT	S2S	S4M	LSB1C1T	ISB2C3T	HSB3C3T	335	S7MB	340	341	ISB2C1M	S4S	520	535.2	HSCH3C1T	S7	252.2	330	SP4	SP5	SP7	120	HSCH3C1B	122	124	233.2	S4	HSCH3C1M	ISC2C3T	330.2	LSCH1C3T	430.2	S5M	S6S	SPCMid	LSCH1C3B	535	SPBMid	S5S	LSCH1C3M	LSCH1C1M	LSB1C3T	LSCH1C1B	314	LSB1C3M	113	434	S2	LSCH1C1T	LSB1C3B	GR7	GR4	GR5	GR2	GR3	ISC2C3M	GR8	3020	SP2	420	423	422	425	424	SPBBtm	443	442	441	444	243	100	40.5	21	ISC2C2B	S7M	HSCH3C3B	HSB3C2T	ISC2C2M	ISC2C1B	HSB3C3B	HSB3C2M	ISC2C2T	S7S	432	HSCH3C3T	430	431	ISB2C2B	S8	MPSIA	MPSIB	S3	334	331	321.2	ISB2C2M	ISB2C2T	252	ISB2C1T	255	ISC2C1M	311.2	404	ISB2C1B	ISC2C1T	SPCBtm	544	ISB2C3B	ISB2C3M	LSB1C2T	HSB3C1T	S1M	LSB1C2M	LSB1C2B	HSCH3C3M	222	220	10	13	3200	1100	HSB3C3M	SP8	153	155	551	233	LSCH1C2T	HSB3C1B	42	PondWater1	S2M	1	323	LSCH1C2B	321	5	324	325	LSCH1C2M	HSB3C1M	143.2	ISC2C3B	S3M	S6M	20.30.1	414	SulfurB	SulfurA	HSB3C2B	1042	SPCTop	SPBT	351	350	4020.3
alpha_rarefaction_500_0.txt	500	0	6.481257603	5.456158659	8.07408899	8.376169773	8.27549238	6.590200224	6.565282633	7.839283726	8.490711661	6.194400379	6.548131731	7.086890013	7.696961018	8.053681196	8.293750849	5.820481189	7.503212722	6.337575911	6.915111241	8.057553452	6.711480502	6.272289784	4.315881949	8.134138609	7.664189472	0.667745942	6.334313645	6.162239773	7.650770917	7.414302424	6.614418869	8.293022808	6.063942645	6.150371252	5.500292265	7.814974691	8.164463172	8.350046985	3.49111473	8.134364192	4.337411472	7.0147962	7.574663295	7.548592285	8.46011811	4.266829174	7.436917271	7.42374348	8.287905992	8.197699186	8.102739846	8.26498395	3.962371789	8.190688298	6.407195796	6.496438722	7.468036778	8.192608511	8.329123686	7.381791421	7.93128881	6.415876352	7.870741628	7.674401309	7.866107003	7.730466108	6.147701818	5.382922966	2.752763258	4.716540019	6.190064887	4.460344392	6.205299545	7.716576324	5.591432916	6.340575076	5.609014219	6.358976132	4.38721201	4.265834304	6.435329713	2.07291739	7.976316194	6.510043129	8.172138078	8.326263233	8.012292421	8.510408604	8.478125185	8.434460267	8.35155676	8.031986836	6.164216754	7.688495442	5.144734282	6.880034702	8.239008868	7.719004914	7.470358942	7.906034928	7.913956728	5.248169026	6.487256665	6.271240023	8.181987446	8.32707361	5.754350776	8.192823077	5.32105794	8.482937929	6.20488091	5.409705358	6.331448195	8.281002485	8.077874498	6.598474596	8.272162874	7.851270953	7.934695453	8.429028692	7.2353232	8.434873879	8.344337479	7.803738784	5.960415115	4.719419735	5.438672927	5.361563488	5.87471334	6.552091769	8.286201974	6.386586475	6.774807808	5.354947955	5.662520914	6.046499146	7.945134992	8.272076501	5.978297407	4.271028893	7.673438379	6.157499421	6.03971018	8.132403292	6.065945403	4.090184341	6.083332637	5.950312578	8.26089193	8.368002397	6.668425556	8.407208961	7.361032057	7.590445756	6.411253364	4.692638897	2.326547257	2.031265689	8.36013226	6.275862731	7.754797402	5.169005601	7.029653332	6.341319677	3.591479628
alpha_rarefaction_500_1.txt	500	1	6.365685491	5.366191467	8.060027523	8.257899247	8.29409316	6.624735662	6.400987229	7.835183496	8.497879279	6.181842123	6.290821893	7.121045599	7.684743156	8.225847254	8.371079098	5.921175329	7.471355865	6.219495561	6.88309615	8.163176936	6.6457668	6.428046299	4.128697891	8.216105723	7.599640986	0.414355701	6.461872262	6.276966741	7.638586951	7.391073703	6.482729504	8.203162786	5.904300253	6.202675667	5.357718537	7.826551091	8.111660416	8.463435229	3.481152634	8.039781617	4.491357601	7.180882382	7.607600052	7.676133183	8.467189323	4.266393944	7.47580883	7.501177402	8.272259279	8.177699186	8.098485393	8.184310942	3.560639421	8.130939577	6.514159246	6.629781491	7.39540698	8.249690854	8.301401617	7.457029109	7.983387643	6.529813189	7.778724439	7.68849347	8.009790126	7.855989284	6.190638459	5.591703706	2.792633604	4.767140893	6.480275242	4.471856564	6.235577517	7.872292952	5.585603072	6.475962185	5.54230222	6.260424117	4.267718982	4.178848612	6.443741772	2.264850711	7.922317895	6.570999506	8.278855559	8.26545328	8.031193701	8.491389054	8.514706173	8.469080355	8.179364965	7.77038001	6.173357867	7.600152493	5.124809259	6.859630666	8.165945092	7.756887976	7.498839797	7.886464036	7.757487284	5.19337742	6.443751927	6.44017117	8.212365334	8.074879367	5.660993357	8.183209291	5.225801628	8.553679548	6.123392693	5.496946705	6.185570461	8.115933847	8.095448653	6.524166846	8.271514747	7.920164308	7.890227805	8.274801167	7.269303549	8.423886354	8.476898829	7.947248922	5.851645453	4.82331872	5.3884063	5.416620153	5.948528317	6.319122158	8.353364104	6.341562992	6.811463783	5.372206641	5.711379377	5.976419447	8.010612102	8.42911271	5.813795331	4.133957322	7.777246004	6.156225639	5.850157737	8.149667046	5.952985815	3.925735891	6.032824204	6.041560503	8.325925454	8.348964642	6.569109285	8.382919939	7.29346491	7.590084527	6.204439063	4.638897651	2.011968369	2.214414603	8.406069352	6.270603587	7.711385922	5.215881734	7.08726571	6.566563483	3.588035275
alpha_rarefaction_500_2.txt	500	2	6.355748527	5.338182707	8.179151084	8.269299724	8.249875109	6.668787614	6.477038515	7.695418962	8.517349954	6.152186802	6.416728649	7.208897706	7.696946702	8.224027523	8.43957058	5.728413958	7.496640456	6.217597849	6.790320679	8.106218739	6.724523346	6.307802738	4.319581251	8.269945092	7.644684292	0.635122907	6.561573923	6.220605529	7.667320226	7.493696995	6.663844602	8.306074955	5.906074927	6.216231312	5.506255199	7.818672622	8.073747695	8.395235136	3.414711353	8.038647186	4.276323154	7.122961566	7.529553097	7.485572754	8.503551272	4.342786765	7.516164193	7.407262596	8.358711661	8.20145361	8.114484283	8.264854087	3.595093776	8.140035493	6.388172208	6.402707003	7.598764656	8.13883901	8.229447792	7.534269885	7.854443711	6.439005026	7.943453456	7.610434768	7.959699044	7.840147614	6.085738325	5.244500337	3.153258628	4.785750735	6.335590124	4.298839218	6.282355455	7.834616905	5.749973179	6.452012328	5.59073735	6.418833048	4.23237437	4.221388834	6.31437053	2.107654448	7.84989101	6.867470986	8.121774542	8.394017689	8.126104466	8.443602935	8.505164373	8.495938017	8.303157628	7.875726914	6.034638583	7.817396677	5.156289253	6.937852699	8.316834779	7.793151871	7.311805424	8.011415613	7.91457186	5.026628394	6.568910322	6.461579651	8.269714021	8.111763412	5.616307146	8.208179754	5.09643901	8.466905904	6.342113133	5.469904283	6.244307797	8.272872292	7.853235643	6.711711353	8.273190184	7.870957735	8.017070913	8.307840179	7.554958254	8.457396129	8.391718648	7.994950998	5.895828724	4.841571723	5.139372343	5.526623427	5.832248439	6.534674345	8.321109225	6.408175762	6.795660277	5.54269406	5.671607098	5.992794989	8.059037416	8.140524708	6.043210054	4.248879416	7.693094635	6.211984149	5.961547354	8.031905877	6.03366269	3.936228991	5.866157288	5.832522576	8.399189323	8.375208961	6.883715868	8.33354596	7.536381661	7.681323453	6.530949513	4.883000742	2.215277847	2.225173297	8.456620898	6.322086699	7.786713309	5.255844165	7.111006429	6.324424963	3.598242461
alpha_rarefaction_500_3.txt	500	3	6.512216377	5.455519612	8.079622903	8.307946564	8.221771172	6.49152854	6.483568223	7.537560969	8.472447704	6.50392346	6.445100012	7.195077547	7.57745392	8.155538885	8.404086085	5.916449397	7.646846117	6.483838389	6.754476708	8.090072111	6.826415598	6.3792332	4.257944046	8.234204703	7.550168677	0.390467138	6.365079461	6.246745231	7.615596875	7.573634625	6.705181931	8.311538555	5.945333347	6.110360037	5.459545548	7.607434212	7.887138697	8.445028692	3.304731913	8.148241404	4.624019854	7.110792193	7.540814517	7.589362531	8.608247973	4.441504986	7.516306011	7.530509813	8.318052473	8.101207704	8.117369922	8.155995498	3.967422312	8.085122576	6.509847722	6.430203234	7.488388525	8.207241316	8.261430602	7.464593391	7.859410094	6.440489035	7.919865305	7.869055467	8.008667073	8.016641969	6.177306974	5.412531145	2.930089224	4.659731329	6.172936357	4.338332308	6.073328486	7.837678924	5.630791239	6.247020209	5.47833475	6.253757497	4.463914879	4.342898836	6.213159475	2.26561721	7.978778793	6.688311387	8.105567883	8.341326591	8.15807484	8.438009142	8.424169773	8.431105635	8.215758939	7.953840685	6.089350832	7.79924012	5.322763346	6.845226306	8.262763324	7.586122053	7.434800765	7.885663237	7.78587127	5.029993725	6.672743347	6.279918284	8.292565065	8.276007885	5.760936783	8.288692199	5.285871335	8.474009142	6.307881314	5.543747766	6.341089246	8.277253549	7.831728844	6.631511656	8.266627973	7.859393346	7.954467403	8.314130673	7.406401147	8.476467342	8.434376579	7.852108506	5.830814325	4.746867953	5.171346191	5.428003032	5.899998942	6.665613847	8.367821974	6.496193825	6.80560027	5.473112601	5.620160718	6.014288047	7.990690942	8.325791536	5.975606089	4.133832683	7.487690304	6.197768871	5.864308893	8.186372409	5.940716495	4.064300934	5.866107907	5.764259599	8.272918105	8.380262008	6.702394422	8.448667073	7.50712656	7.773714655	6.137326509	4.602225769	2.268481377	2.246723404	8.369396129	6.198438954	7.750487042	5.211425473	7.076088199	6.209038572	3.715501065
alpha_rarefaction_500_4.txt	500	4	6.562465525	5.434761637	7.927775483	8.367822304	8.256137748	6.555660865	6.341171472	7.7831742	8.526408604	6.129059413	6.551740158	7.301711049	7.863665574	8.283859817	8.458905904	5.767648207	7.478726936	6.323281594	6.921579542	8.094555261	6.470354088	6.385289256	4.350469818	8.233100323	7.570359742	0.431045841	6.335190544	6.113549522	7.659408107	7.462687433	6.571590957	8.240961798	5.85062437	6.355741234	5.454987197	7.833549893	8.122552502	8.383686623	3.197905269	8.111686227	4.599334142	7.032192212	7.48483277	7.627996817	8.363111123	4.402948037	7.329252073	7.378960692	8.261719509	8.147225755	8.208151898	8.17746743	3.657606943	8.207395975	6.556388769	6.299410739	7.647390456	8.059074928	8.190028418	7.298867182	7.769238008	6.381447884	7.885848572	7.71449253	7.890034483	7.981945422	6.00029949	5.431879328	2.890892826	4.618926459	6.267210277	4.261083691	6.031597599	7.783400683	5.684136905	6.409863725	5.709665111	6.122944506	4.545792419	4.178865441	6.424252809	2.235168455	7.784132808	6.881057094	8.168305454	8.2482814	8.10889193	8.537479817	8.454873879	8.477977117	8.284319274	7.86384178	6.136265233	7.635232581	4.953046332	6.803930429	8.203344312	7.60907676	7.519986548	7.736956528	7.896125361	5.344322097	6.312478018	6.374483088	8.161286234	8.241629318	5.635087578	8.195738616	5.207958516	8.472699098	6.214951513	5.399912948	6.191706866	8.353968785	7.988854417	6.63359813	8.34749238	7.751589825	7.99589622	8.292076427	7.198763139	8.506989592	8.41753148	7.853453242	6.038014303	4.711837501	5.471186156	5.544761396	5.917155184	6.59196984	8.366957567	6.492476393	6.800666753	5.499603848	5.735804441	5.860064573	8.035357359	8.375738286	6.110503957	4.299260617	7.471065371	6.349512324	5.796105844	8.023957985	6.235268625	4.089442628	6.033708872	5.810529981	8.315914209	8.415460355	6.685377645	8.413164373	7.42220796	7.600588934	6.229297869	4.700244218	2.313745372	2.227351441	8.359859817	6.320254285	7.85139619	5.014462734	7.16511714	6.395963615	3.569920904
alpha_rarefaction_500_5.txt	500	5	6.521646907	5.537536115	8.07149271	8.338158643	8.274269083	6.572302797	6.488555365	7.720311649	8.517228423	6.329437312	6.317895014	7.187315933	7.468080073	8.11505562	8.249184696	5.840936905	7.569960805	6.133488995	6.971293217	8.103968932	6.636137041	6.352199405	4.111944024	8.157383742	7.751486141	0.472407999	6.388267207	6.254085215	7.569540493	7.588906859	6.530798405	8.222101377	6.094069147	6.157898899	5.400159779	7.660703505	7.898912394	8.440169773	3.467377977	8.167498198	4.384287413	7.025785746	7.572840806	7.451288414	8.432783116	4.18223596	7.448698327	7.429876604	8.246396217	8.009371025	8.225447792	8.145138166	3.700786975	8.139171333	6.490021366	6.347370841	7.503291783	8.103752321	8.212423615	7.136947769	7.926357978	6.508774344	7.843952052	7.520763469	8.107445558	7.788087571	6.269921364	5.351020658	2.805539341	4.601414782	6.188110321	4.4619166	6.129541591	7.837439783	5.71715315	6.487687695	5.391633298	6.240186234	4.347615477	4.188944456	6.399934372	2.059049419	7.985261734	6.782294144	8.256443864	8.356635048	8.095549861	8.503970042	8.372491035	8.588247973	8.340421497	7.906123128	6.144272209	7.701453633	5.151406398	6.877720729	8.299761979	7.576928301	7.572870424	7.874626244	7.925941138	5.113141299	6.481592474	6.347200201	8.289268384	8.217024853	5.622031917	8.130364192	5.228179227	8.461447792	6.11548914	5.419039067	6.290209597	8.28012809	7.808566714	6.438703764	8.343041255	7.736350218	8.018073583	8.26003574	7.338633337	8.439602935	8.457777386	8.069516249	5.867953451	4.881188732	5.481220613	5.418158716	5.966026148	6.508278576	8.294370365	6.558366097	6.686493931	5.554854153	5.644796705	5.954785185	7.977593809	8.36961001	5.972413151	4.249824761	7.568449072	6.317408536	5.891831967	8.019997616	5.799223731	4.178792633	6.108895706	6.003580786	8.410882096	8.321288633	6.422763598	8.338404434	7.468525106	7.636679535	6.341886908	4.784675541	2.257471049	2.096692988	8.441930942	6.403187101	7.776679697	5.091833338	7.075934764	6.183411003	3.673933906
alpha_rarefaction_500_6.txt	500	6	6.39655107	5.340484631	8.079616359	8.186679636	8.193782874	6.452200084	6.350697807	7.594595424	8.534208873	6.242044948	6.452208912	7.266688613	7.589067073	8.090714109	8.393349954	5.810710459	7.47857874	6.389598375	6.81303672	7.930113506	6.638294205	6.282895148	4.177498021	8.235613911	7.613725631	0.738176162	6.541437916	6.185034369	7.511370158	7.591008149	6.669431175	8.173216366	6.117716209	6.058934199	5.329803269	7.852038829	8.08803607	8.45317676	3.296583163	8.106268472	4.406669115	7.120316185	7.573492845	7.593425963	8.567970042	4.33348544	7.405263659	7.511760307	8.344137748	8.259292979	8.21491721	8.20889193	3.693626019	8.210667934	6.496006214	6.560167332	7.414386782	8.055995498	8.250754992	7.38272466	7.95788653	6.437770168	7.801950795	7.744558166	7.916480412	7.837474352	6.11581971	5.425520394	2.564132038	4.621479633	6.21121609	4.36515366	6.213944343	7.737158793	5.518829328	6.408513199	5.64895673	6.416848498	4.19308091	4.118208185	6.420001728	2.085299523	7.954701393	6.771297401	8.273740203	8.443738286	8.008624665	8.542854241	8.351240986	8.616364016	8.302100766	7.861524911	6.082593668	7.785592151	5.240123156	6.684315587	8.238303867	7.618899899	7.484860943	7.818285662	7.944984165	5.129070201	6.514482883	6.190953514	8.177826205	8.177672649	5.712116114	8.199851485	5.179069669	8.479770311	6.149403538	5.497385882	6.278299354	8.428137748	7.95477463	6.59271594	8.41105946	7.73246486	8.011948072	8.398873879	7.117970972	8.278216809	8.357056877	7.816583077	5.870963951	4.775087185	5.439273669	5.418485335	5.847422112	6.494965317	8.358246716	6.371225124	6.788892275	5.520253579	5.514330214	5.940116201	7.916072972	8.288673994	6.091874215	4.270472871	7.668829477	6.421063176	5.901454436	8.051385288	6.124137663	4.049084514	6.257445737	5.82674969	8.344383654	8.386422754	6.451205443	8.242326679	7.470104808	7.645358892	6.437416226	4.828711212	2.400095176	2.239824986	8.552299636	6.333360575	7.717269348	4.98915802	7.307688218	6.346732154	3.743897736
alpha_rarefaction_500_7.txt	500	7	6.587023948	5.429200825	8.069910223	8.24011394	8.151409022	6.606852914	6.50372986	7.73014805	8.429731211	6.23026997	6.418934809	7.13329668	7.615152122	8.201432532	8.417066535	5.865285775	7.601700473	6.299987397	6.785354714	8.105270759	6.608747437	6.324796241	4.446605974	8.189820717	7.6384268	0.53840574	6.418877142	6.103662329	7.679871123	7.530975033	6.597363718	8.174549773	6.233697449	6.111018383	5.405714026	7.760483026	8.055109402	8.288319274	3.460280227	8.161256608	4.294943762	7.293537181	7.628455501	7.733822035	8.422260536	4.487273849	7.565206293	7.413520138	8.323281558	8.220389142	8.15883564	8.211530223	3.565893363	8.101118198	6.392469677	6.509654502	7.388232342	8.011061223	8.320950492	7.446329434	7.831182754	6.309227421	7.864278917	7.647609461	8.073918885	7.866567971	6.110602267	5.519687176	2.78085754	4.535363496	6.249736787	4.471943583	6.089645273	7.745989741	5.867737495	6.167331442	5.522022753	6.217538679	4.410685766	4.114965529	6.400549775	2.333206157	7.796563924	6.891697533	8.187390817	8.395984192	8.083720296	8.432467342	8.394176848	8.489679548	8.274942307	7.847806097	6.13665244	7.78815972	5.161077172	6.802717126	8.281461827	7.683723055	7.454218343	7.92916845	7.855691715	4.933174799	6.589392807	6.380153485	8.174763654	8.177653011	5.592246051	8.15113349	5.261888221	8.509428154	6.149495658	5.492595699	6.126487706	8.388183923	7.96523283	6.420498279	8.292505185	7.838982331	7.94759747	8.296209734	7.270553515	8.455862546	8.340655371	7.829219313	5.836434212	4.634524362	5.263363229	5.429843776	5.902166863	6.439090156	8.434778159	6.462950206	6.77252122	5.499931896	5.853862301	6.033020185	7.910974576	8.376872292	5.950231019	4.21508111	7.595346365	6.279952575	6.019330211	8.140654686	5.989057851	3.786686153	5.974550646	5.933908196	8.357653011	8.397377924	6.620086716	8.470260536	7.309173977	7.595192384	6.268069906	4.854118165	2.197875219	2.198761127	8.485525992	6.372933022	7.711190361	5.145921973	7.03552408	6.126124258	3.646599285
alpha_rarefaction_500_8.txt	500	8	6.391262918	5.564294084	8.004242431	8.302731299	8.115900142	6.575889302	6.428925142	7.641843828	8.420667073	6.448718364	6.347163748	7.022288948	7.560459045	8.222925542	8.408866804	5.592846214	7.559458964	6.324929865	6.818725181	8.139079098	6.965081657	6.294305452	4.323907211	8.254847342	7.621501434	0.506589767	6.302858711	5.969601354	7.409029898	7.465286186	6.662998094	8.263576398	6.004377268	5.995574791	5.280649611	7.729254587	7.990059394	8.422269083	3.561875667	8.062612466	4.587767054	7.047874269	7.621171101	7.685377167	8.497228423	4.267848505	7.547629595	7.460222312	8.358674148	8.093640624	8.171144911	8.184568125	3.936873837	8.113337567	6.154690216	6.514418202	7.46689107	8.162442392	8.248383654	7.27857059	7.901835197	6.339021594	7.911771959	7.797287668	7.90136126	7.713108455	6.262551818	5.59155477	2.928653365	4.831961144	6.384496157	4.390228054	6.156455761	7.840006164	5.849231279	6.321803283	5.53694181	6.181718223	4.371214046	4.122936172	6.363012508	2.102630455	7.967485056	6.761416305	8.215284007	8.399938017	8.173461827	8.539718648	8.493809411	8.574937929	8.284834779	7.940662903	6.087592072	7.649327629	5.241211127	6.851353127	8.160299966	7.621468353	7.567143139	7.936594529	7.927546492	4.88639808	6.464064416	6.311852281	8.259628746	8.314382397	5.76162877	8.139879455	5.423801228	8.369224253	6.155776314	5.577136435	6.206031094	8.202719597	7.934673752	6.349422491	8.405731211	7.871145126	7.926421343	8.420221436	7.335681696	8.411235498	8.379654598	7.813491795	5.853097737	4.757782109	5.290762366	5.409187545	6.038986368	6.553803063	8.34357091	6.493520991	6.855401674	5.589572702	5.707395722	6.002390886	7.994624134	8.168306887	6.118594964	4.153388479	7.53537254	6.40368769	5.960435256	8.16389766	6.120949864	4.247368161	6.176528577	6.05717591	8.363611152	8.39955676	6.659680245	8.371789949	7.374585913	7.608125414	6.316364675	4.551151659	2.067327032	2.054669949	8.413184696	6.022687693	7.868142126	5.196570381	7.061617061	6.255576769	3.692837713
alpha_rarefaction_500_9.txt	500	9	6.556481747	5.511098921	8.104221766	8.273818288	8.226795679	6.530686086	6.363521331	7.688900722	8.498460267	6.378243968	6.494357461	7.062740299	7.674924461	8.092113329	8.405699186	5.690750029	7.517691561	6.230599689	6.693015037	8.073569491	6.670788781	6.256340499	4.164448265	8.193931272	7.637457988	0.555915515	6.333570854	6.206070993	7.626210241	7.498026666	6.501622088	8.291271901	6.080714498	5.982993474	5.460546678	7.904832392	7.963205452	8.456369504	3.383595903	8.051881574	4.38759293	7.176215628	7.547236037	7.52566914	8.40909856	4.419206037	7.446292563	7.605266288	8.322220179	8.160143236	8.112255224	8.232345415	3.714807742	8.133918555	6.55376672	6.662545206	7.404367808	7.996384972	8.240371952	7.417413725	7.853203534	6.452331957	7.889993911	7.658840443	7.895351883	7.847650644	6.023275242	5.567521533	2.837126808	4.728220404	6.243824121	4.169989453	5.944148509	7.820325092	5.702349938	6.39243894	5.467100821	6.427185935	4.288298998	4.244806275	6.307296963	2.020401738	7.826283308	7.179218225	8.223943505	8.35497789	8.088111541	8.520164285	8.488299636	8.529725723	8.241815229	7.869429441	6.086344788	7.849418101	5.058273975	6.828952493	8.16999664	7.564734258	7.557152317	7.893595882	7.965073786	5.167743155	6.48921003	6.263888002	8.196498331	8.212181079	5.676109166	8.182407193	5.311351421	8.509150223	6.212222509	5.530164491	6.416114773	8.203159746	7.924446623	6.609462967	8.326382067	7.893455566	7.920195229	8.292635048	7.417760733	8.425725723	8.411241316	7.804015878	5.849475214	4.640049792	5.657150332	5.423382413	5.919505949	6.411059603	8.395640448	6.41488224	6.629744607	5.392458722	5.567006415	5.929014231	7.995034686	8.24002048	5.976945718	4.302259211	7.616175873	6.333678136	5.991197419	8.103039883	5.989997897	4.062353484	6.225796844	5.9224942	8.382830433	8.451984877	6.527134034	8.322809499	7.333207565	7.768413952	6.475366267	4.885168283	2.135204095	2.085317311	8.390659998	6.275584438	7.807623892	5.007569513	7.136999427	6.322921286	3.492110099
